null, null, null, null, null, null, DURATION_TIME, 11470166697, null
__daisy_timer8302332493925983967_0,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/timer.cpp,40,40,44,44,DURATION_TIME,541,1744302464
__daisy_force_eam15584801845130774836_0,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,55,55,19,19,DURATION_TIME,1182,1744302464
__daisy_comm13563936316868801037_0,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/comm.cpp,86,111,13,25,DURATION_TIME,330,1744302464
__daisy_comm13563936316868801037_1,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/comm.cpp,187,187,47,47,DURATION_TIME,140,1744302464
__daisy_comm13563936316868801037_2,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/comm.cpp,211,267,32,12,DURATION_TIME,420,1744302464
__daisy_neighbor9815770740619294812_0,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/neighbor.cpp,326,327,20,30,DURATION_TIME,130,1744302464
__daisy_neighbor9815770740619294812_1,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/neighbor.cpp,432,481,13,37,DURATION_TIME,2725,1744302464
__daisy_force_eam611673681090401508_0,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,574,574,53,53,DURATION_TIME,1272,1744302464
__daisy_force_eam611673681090401508_1,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,576,576,51,51,DURATION_TIME,200,1744302464
__daisy_force_eam611673681090401508_2,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,578,578,49,49,DURATION_TIME,180,1744302464
__daisy_force_eam16582188774794522898_0,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,766,766,49,49,DURATION_TIME,7343,1744302464
__daisy_force_eam16582188774794522898_1,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,774,775,78,33,DURATION_TIME,661,1744302464
__daisy_force_eam16582188774794522898_2,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,778,780,56,43,DURATION_TIME,701,1744302464
__daisy_force_eam16582188774794522898_3,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,788,790,43,29,DURATION_TIME,1233,1744302464
__daisy_force_eam16582188774794522898_4,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,766,766,49,49,DURATION_TIME,15599,1744302464
__daisy_force_eam16582188774794522898_5,/home/nora-hagmeyer/opt/docc/tests/mantevo/miniMD/force_eam.cpp,774,775,78,85,DURATION_TIME,662,1744302464
